world,wr\=ld
life,lajf
their,DEr\
than,D{n
take,tejk
two,tu
once,wVns
others,VDr\=z
these,Diz
before,bIfOr\
never,nEvr\=
report,r\ipOr\t
long,lON
they,Dej
see,si
another,@nVDr\=
until,@ntIl
with,wID
me,mi
fire,fajr\=
it,It
if,If
near,nIr\
things,TINz
have,h{v
called,kOld
shot,SAt
like,lajk
public,pVblIk
year,jIr\
tell,tEl
in,In
which,wItS
without,wITawt
deal,dil
terror,tEr\r\=
already,Olr\Edi
come,kVm
across,@kr\Os
keep,kip
why,waj
may,mej
outside,awtsajd
too,tu
evening,ivnIN
then,DEn
suspect,sVspEkt
first,fr\=st
murder,mr\=dr\=
now,naw
died,dajd
just,dZVst
front,fr\Vnt
a,@
week,wik
fact,f{kt
lead,lEd
company,kVmp@ni
only,ownli
e,i
again,@gEn
republican,r\IpVblIk@n
story,stOr\i
man,m{n
high,haj
security,sIkjUr\@ti
day,dej
or,Or\
time,tajm
put,pUt
weather,wEDr\=
president,pr\Ez@dEnt
going,gowIN
even,iv@n
at,{t
north,nOr\T
states,stejts
night,najt
country,kVntr\i
off,Of
told,towld
known,nown
part,pAr\t
think,TINk
from,fr\Vm
health,hElT
our,awr\=
she,Si
justice,dZVst@s
best,bEst
next,nEkst
him,hIm
sanders,s{ndr\=z
good,gUd
used,juzd
point,pojnt
gun,gVn
several,sEvr\@l
not,nAt
south,sawT
look,lUk
more,mOr\
together,t@gEDr\=
group,gr\up
actually,{ktS@w@li
as,{z
war,wOr\
different,dIfr\=@nt
should,SUd
out,awt
big,bIg
continue,k@ntInju
those,Dowz
kids,kIdz
old,owld
month,mVnT
got,gAt
is,Iz
move,muv
area,Er\i@
attack,@t{k
number,nVmbr\=
major,mejdZr\=
and,{nd
you,ju
who,hu
no,now
risk,r\Isk
away,@wej
weekend,wikEnd
close,klows
when,wEn
past,p{st
cut,kVt
other,VDr\=
better,bEtr\=
really,r\Ili
because,bIkOz
c,si
able,ejb@l
killed,kIld
started,stAr\t@d
work,wr\=k
also,Olsow
said,sEd
make,mejk
market,mAr\k@t
airport,Er\pOr\t
give,gIv
car,kAr\
race,r\ejs
white,wajt
women,wIm@n
last,l{st
head,hEd
use,jus
change,tSejndZ
happened,h{p@nd
video,vIdiow
government,gVvr\=m@nt
state,stejt
into,Intu
business,bIzn@s
tomorrow,t@mAr\ow
know,now
times,tajmz
right,r\ajt
being,biIN
taking,tejkIN
home,howm
japan,dZ@p{n
to,t@
family,f{m@li
china,tSajn@
john,dZAn
will,wIl
much,mVtS
show,Sow
new,nu
money,mVni
buy,baj
your,jOr\
found,fawnd
air,Er\
start,stAr\t
her,hr\=
hit,hIt
late,lejt
down,dawn
while,wajl
them,DEm
far,fAr\
behind,bIhajnd
trump,tr\Vmp
be,bi
united,junajt@d
here,hIr\
on,An
so,sow
u,ju
working,wr\=kIN
around,r\=awnd
ever,Evr\=
but,bVt
an,{n
today,t@dej
between,bItwin
wall,wOl
school,skul
law,lO
many,mEni
seen,sin
water,wOtr\=
growth,gr\owT
tonight,t@najt
some,sVm
news,nuz
s,Es
street,str\it
he,hi
three,Tr\i
least,list
would,wUd
court,kOr\t
same,sejm
end,End
are,Ar\
what,wVt
through,Tr\u
under,Vndr\=
d,di
live,lajv
go,gow
police,p@lis
thank,T{Nk
morning,mOr\nIN
men,mEn
top,tAp
miles,majlz
years,jIr\z
well,wEl
ten,tEn
say,sej
his,hIz
could,kUd
case,kejs
of,Vv
the,D@
nearly,nIr\li
for,fOr\
federal,fEdr\=@l
any,Eni
after,{ftr\=
billion,bIlj@n
own,own
still,stIl
second,sEk@nd
p,pi
people,pip@l
house,haws
saw,sO
days,dejz
let,lEt
this,DIs
information,Infr\=mejS@n
snow,snow
did,dId
most,mowst
rain,r\ejn
few,fju
question,kwEstS@n
believe,bIliv
that,D{t
during,dUr\IN
all,Ol
death,dET
making,mejkIN
coming,kVmIN
place,plejs
does,dowz
full,fUl
national,n{S@n@l
person,pr\=s@n
lot,lAt
hour,awr\=
my,maj
by,baj
pay,pej
every,Evr\=i
up,Vp
was,wAz
children,tSIldr\@n
very,vEr\i
each,itS
us,Vs
need,nid
were,wr\=
thing,TIN
can,k{n
we,wi
little,lIt@l
job,dZAb
half,h{f
million,mIlj@n
something,sVmTIN
likely,lajkli
made,mejd
stop,stAp
vote,vowt
officer,Of@sr\=
want,wAnt
oil,ojl
against,@gEnst
its,Its
five,fajv
moving,muvIN
system,sIst@m
since,sIns
get,gEt
one,wVn
fell,fEl
campaign,k{mpejn
back,b{k
election,IlEkS@n
ago,@gow
team,tim
been,bIn
quarter,kwOr\tr\=
there,DEr\
city,sIti
less,lEs
about,@bawt
might,majt
way,wej
where,wEr\
left,lEft
kind,kajnd
trying,tr\ajIN
over,owvr\=
later,lejtr\=
great,gr\ejt
along,@lON
support,s@pOr\t
enough,InVf
i,aj
help,hElp
hard,hAr\d
sales,sejlz
both,bowT
do,du
inside,Insajd
find,fajnd
lower,lowr\=
four,fOr\
how,haw
